snp;sumber_dana;kodedana;namadana;kodegiat;namagiat;kegiatan;idbl;link
Pengembangan Standar Proses;3.01 BOS Pusat;3.01;BOS Pusat;05.3.01.3.001;03.03. Pelaksanaan Kegiatan Pembelajaran dan Ekstrakurikuler;05.3.01.3.001 03.03. Pelaksanaan Kegiatan Pembelajaran dan Ekstrakurikuler;587015;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/587015
Pengembangan Standar Proses;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;02.3.04.3.001;03.03. Pelaksanaan Kegiatan Pembelajaran dan Ekstrakurikuler;02.3.04.3.001 03.03. Pelaksanaan Kegiatan Pembelajaran dan Ekstrakurikuler;596916;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/596916
Pengembangan dan implementasi sistem penilaian;3.01 BOS Pusat;3.01;BOS Pusat;02.3.01.4.001;08.04. Pelaksanaan Kegiatan Asesmen dan Evaluasi Pembelajaran;02.3.01.4.001 08.04. Pelaksanaan Kegiatan Asesmen dan Evaluasi Pembelajaran;606486;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/606486
Pengembangan dan implementasi sistem penilaian;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;01.3.04.4.001;08.04. Pelaksanaan Kegiatan Asesmen dan Evaluasi Pembelajaran;01.3.04.4.001 08.04. Pelaksanaan Kegiatan Asesmen dan Evaluasi Pembelajaran;594581;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/594581
Pengembangan pendidik dan tenaga kependidikan;3.01 BOS Pusat;3.01;BOS Pusat;05.3.01.5.001;04.06. Pengembangan Profesi Pendidik dan Tenaga Kependidikan;05.3.01.5.001 04.06. Pengembangan Profesi Pendidik dan Tenaga Kependidikan;597494;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/597494
Pengembangan sarana dan prasarana sekolah;3.01 BOS Pusat;3.01;BOS Pusat;04.3.01.6.001;05.09. Penyediaan Alat Multi Media Pembelajaran;04.3.01.6.001 05.09. Penyediaan Alat Multi Media Pembelajaran;594653;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/594653
Pengembangan sarana dan prasarana sekolah;3.01 BOS Pusat;3.01;BOS Pusat;04.3.01.6.002;05.08. Pemeliharaan Sarana dan Prasarana Sekolah;04.3.01.6.002 05.08. Pemeliharaan Sarana dan Prasarana Sekolah;594662;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/594662
Pengembangan sarana dan prasarana sekolah;3.01 BOS Pusat;3.01;BOS Pusat;04.3.01.6.003;05.02. Pengembangan Perpustakaan;04.3.01.6.003 05.02. Pengembangan Perpustakaan;594685;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/594685
Pengembangan sarana dan prasarana sekolah;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;04.3.04.6.001;05.05.  Pelaksanaan Administrasi Kegiatan Sekolah;04.3.04.6.001 05.05.  Pelaksanaan Administrasi Kegiatan Sekolah;597024;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/597024
Pengembangan sarana dan prasarana sekolah;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;04.3.04.6.002;05.08. Pemeliharaan Sarana dan Prasarana Sekolah;04.3.04.6.002 05.08. Pemeliharaan Sarana dan Prasarana Sekolah;599352;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/599352
Pengembangan standar pembiayaan;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;06.3.04.8.001;07.05. Pelaksanaan Administrasi Kegiatan Sekolah;06.3.04.8.001 07.05. Pelaksanaan Administrasi Kegiatan Sekolah;599266;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/599266
Pengembangan standar pengelolaan;3.01 BOS Pusat;3.01;BOS Pusat;06.3.01.7.001;06.05.  Pelaksanaan Administrasi Kegiatan Sekolah;06.3.01.7.001 06.05.  Pelaksanaan Administrasi Kegiatan Sekolah;597626;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/597626
Pengembangan standar pengelolaan;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;04.3.04.7.001;06.07. Pembiayaan Langganan Daya dan Jasa;04.3.04.7.001 06.07. Pembiayaan Langganan Daya dan Jasa;589170;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/589170
Pengembangan standar pengelolaan;3.04 BOP Alokasi Dasar;3.04;BOP Alokasi Dasar;04.3.04.7.002;06.05.  Pelaksanaan Administrasi Kegiatan Sekolah;04.3.04.7.002 06.05.  Pelaksanaan Administrasi Kegiatan Sekolah;596802;https://rkas.jakarta.go.id/main/belanja/2026/rinci/list/1/263/596802
